address	length	value
1001ab71	34	?_Recieve@IPureClient@@EAEXPBXII@Z
1001ab94	34	?_Recieve@IPureServer@@EAEXPBXII@Z
1001abb7	33	?_SendTo_LL@IClient@@EAEXPBXIII@Z
1001abd9	37	?_SendTo_LL@IPureClient@@EAEXPBXIII@Z
1001ac59	26	?begin@syncQueue@@QAEPAIXZ
1001ac74	31	?clear@IServerStatistic@@QAEXXZ
1001ac94	24	?clear@syncQueue@@QAEXXZ
1001acad	42	?compressed_size@NET_Compressor@@QAEGABI@Z
1001acd8	24	?end@syncQueue@@QAEPAIXZ
1001ad49	30	?g_net_compressor_enabled@@3HA
1001ad68	35	?g_net_compressor_gather_stats@@3HA
1001ad8c	36	?g_pSteamHelper@@3PAVCSteamHelper@@A
1001adb1	32	?getBPS@IClientStatistic@@QAEIXZ
1001add2	40	?getConnQuality@IClientStatistic@@QAEMXZ
1001adfb	41	?getDroppedCount@IClientStatistic@@QAEIXZ
1001ae25	40	?getMPS_Receive@IClientStatistic@@QAEIXZ
1001ae4e	37	?getMPS_Send@IClientStatistic@@QAEIXZ
1001ae74	36	?getPeakBPS@IClientStatistic@@QAEIXZ
1001ae99	33	?getPing@IClientStatistic@@QAEIXZ
1001aebb	43	?getReceivedPerSec@IClientStatistic@@QAEIXZ
1001aee7	41	?getRetriedCount@IClientStatistic@@QAEIXZ
1001af11	41	?getSendedPerSec@IClientStatistic@@QAEIXZ
1001af3b	67	?get_net_DescriptionData@IPureClient@@QBEABUGameDescriptionData@@XZ
1001af7f	37	?net_Handler@IPureSteamClient@@AAEXXZ
1001afa5	37	?net_Handler@IPureSteamServer@@AAEXXZ
1001afcb	37	?net_HasBandwidth@IPureClient@@QAEHXZ
1001aff1	38	?net_IsSyncronised@IPureClient@@UAEHXZ
1001b018	38	?net_SessionName@IPureClient@@QAEPBDXZ
1001b03f	35	?net_Syncronize@IPureClient@@QAEXXZ
1001b063	44	?net_isCompleted_Connect@IPureClient@@QAEHXZ
1001b090	41	?net_isCompleted_Sync@IPureClient@@QAEHXZ
1001b0ba	39	?net_isDisconnected@IPureClient@@QAEHXZ
1001b0e2	40	?net_isFails_Connect@IPureClient@@QAEHXZ
1001b10b	36	?net_msg_Release@IPureClient@@QAEXXZ
1001b130	51	?net_msg_Retreive@IPureClient@@UAEPAVNET_Packet@@XZ
1001b164	63	?net_setConenctionState@IPureClient@@QAEXW4ConnectionState@1@@Z
1001b1a4	25	?psNET_ClientPending@@3HA
1001b1be	24	?psNET_ClientUpdate@@3HA
1001b1d7	29	?psNET_Flags@@3U?$_flags@I@@A
1001b1f5	32	?psNET_GuaranteedPacketMode@@3HA
1001b216	18	?psNET_Name@@3PADA
1001b229	25	?psNET_ServerPending@@3HA
1001b243	24	?psNET_ServerUpdate@@3HA
1001b25c	26	?psNET_direct_connect@@3HA
1001b277	24	?push@syncQueue@@QAEXI@Z
1001b290	46	?s_pCallbackInstance@IPureSteamClient@@0PAV1@A
1001b2bf	46	?s_pCallbackInstance@IPureSteamServer@@0PAV1@A
1001b30b	23	?size@syncQueue@@QAEIXZ
1001b323	31	?timeServer@IPureClient@@QAEIXZ
1001b343	37	?timeServer_Async@IPureClient@@QAEIXZ
1001b369	41	?timeServer_Correct@IPureClient@@QAEXII@Z
1001b393	37	?timeServer_Delta@IPureClient@@QAEIXZ
1001b3b9	42	?timeServer_UserDelta@IPureClient@@QAEXH@Z
1001b80c	30	SteamNetworkingIPAddr_ToString
1001b82e	33	SteamNetworkingIPAddr_ParseString
1001b850	25	GameNetworkingSockets.dll
1001bb54	21	??0NET_Packet@@QAE@XZ
1001bc5a	30	?r_begin@NET_Packet@@QAEIAAG@Z
1001bcca	26	?w_u16@NET_Packet@@QAEXG@Z
1001bce8	25	?w@NET_Packet@@QAEXPBXI@Z
1001c11c	23	__std_exception_destroy
1001c170	28	__std_type_info_destroy_list
1001d0a8	6	Player
1001d150	22	M_SV_CONFIG_NEW_CLIENT
1001d2d0	7	M_EVENT
1001d3d0	13	M_CLIENTREADY
1001d510	13	M_SAVE_PACKET
1001d5d0	12	M_EVENT_PACK
1001d690	23	M_CLIENT_CONNECT_RESULT
