address	name	namespace	reference_count	references
EXTERNAL:00000014	KERNEL32.DLL::CreateFileW	KERNEL32.DLL	2	10015040,1001304a
EXTERNAL:00000015	KERNEL32.DLL::TerminateProcess	KERNEL32.DLL	2	10015044,10013f11
EXTERNAL:00000016	KERNEL32.DLL::GetCurrentProcess	KERNEL32.DLL	2	10015048,10013f0a
EXTERNAL:00000017	KERNEL32.DLL::InitializeSListHead	KERNEL32.DLL	2	1001504c,10013e63
EXTERNAL:00000018	KERNEL32.DLL::DisableThreadLibraryCalls	KERNEL32.DLL	2	10015050,10013e51
EXTERNAL:00000019	KERNEL32.DLL::GetSystemTimeAsFileTime	KERNEL32.DLL	2	10015054,10013db6
EXTERNAL:0000001a	KERNEL32.DLL::GetCurrentThreadId	KERNEL32.DLL	2	10015058,10013dc5
EXTERNAL:0000001b	KERNEL32.DLL::QueryPerformanceCounter	KERNEL32.DLL	2	1001505c,10013ddb
EXTERNAL:0000001c	KERNEL32.DLL::SetUnhandledExceptionFilter	KERNEL32.DLL	3	10015060,10013cf7,10013ef6
EXTERNAL:0000001d	KERNEL32.DLL::UnhandledExceptionFilter	KERNEL32.DLL	3	10015064,10013d01,10013eff
EXTERNAL:0000001e	KERNEL32.DLL::IsDebuggerPresent	KERNEL32.DLL	2	10015068,10013cde
EXTERNAL:0000001f	KERNEL32.DLL::IsProcessorFeaturePresent	KERNEL32.DLL	4	1001506c,100138df,10013c12,10013f25
EXTERNAL:00000020	KERNEL32.DLL::MultiByteToWideChar	KERNEL32.DLL	2	10015070,10012cc3
EXTERNAL:00000021	KERNEL32.DLL::GetFileInformationByHandleEx	KERNEL32.DLL	5	10015074,1001313e,10012f7c,10012fc4,10012fee
EXTERNAL:00000022	KERNEL32.DLL::GetLastError	KERNEL32.DLL	15	10015078,1001305a,100130fc,100131a9,1001314b,10012c2d,10012c62,10012ccf,10012d0b,10012d3d,10012d68,10012dbf,10012e6b,10012e8d,10012f86
EXTERNAL:00000023	KERNEL32.DLL::CloseHandle	KERNEL32.DLL	2	1001507c,10012c7c
EXTERNAL:00000024	KERNEL32.DLL::AreFileApisANSI	KERNEL32.DLL	2	10015080,10012ca2
EXTERNAL:00000025	KERNEL32.DLL::SetFileInformationByHandle	KERNEL32.DLL	6	10015084,1001316a,10013194,100130e5,10012c23,10012c58
EXTERNAL:00000026	KERNEL32.DLL::FindClose	KERNEL32.DLL	3	10015088,10012d7e,10012e99
EXTERNAL:00000027	KERNEL32.DLL::GetFileAttributesExW	KERNEL32.DLL	2	1001508c,10012e61
EXTERNAL:00000028	KERNEL32.DLL::FindNextFileW	KERNEL32.DLL	2	10015090,10012d5a
EXTERNAL:00000029	KERNEL32.DLL::FindFirstFileExW	KERNEL32.DLL	2	10015094,10012dad
EXTERNAL:0000002a	KERNEL32.DLL::FindFirstFileW	KERNEL32.DLL	2	10015098,10012e82
EXTERNAL:0000002b	XRCORE.DLL::CLocatorAPI::exist	XRCORE.DLL::CLocatorAPI	3	100151bc,1000f60e,10010897
EXTERNAL:0000002c	XRCORE.DLL::CLocatorAPI::file_delete	XRCORE.DLL::CLocatorAPI	5	100151c0,10010651,1000f858,1000f802,1000f7ac
EXTERNAL:0000002d	XRCORE.DLL::CLocatorAPI::w_open	XRCORE.DLL::CLocatorAPI	2	100151c4,1000f328
EXTERNAL:0000002e	XRCORE.DLL::xrCriticalSection::raii::~raii	XRCORE.DLL::xrCriticalSection::raii	2	100151c8,1000c2f8
EXTERNAL:0000002f	XRCORE.DLL::xrCriticalSection::raii::raii	XRCORE.DLL::xrCriticalSection::raii	2	100151cc,1000c2c7
EXTERNAL:00000030	XRCORE.DLL::FlushLog	XRCORE.DLL	3	100151d0,1000a9d0,1000aa05
EXTERNAL:00000031	XRCORE.DLL::GetUserKey_FromRegistry	XRCORE.DLL	2	100151d4,1000a608
EXTERNAL:00000032	XRCORE.DLL::CLocatorAPI::dir_delete	XRCORE.DLL::CLocatorAPI	2	100151d8,1000f71d
EXTERNAL:00000033	XRCORE.DLL::CInifile::w_string	XRCORE.DLL::CInifile	2	100151dc,10007402
EXTERNAL:00000034	XRCORE.DLL::CInifile::r_string	XRCORE.DLL::CInifile	2	100151e0,100070e4
EXTERNAL:00000035	XRCORE.DLL::rtc9_decompress	XRCORE.DLL	2	100151e4,10006276
EXTERNAL:00000036	XRCORE.DLL::rtc9_compress	XRCORE.DLL	2	100151e8,1000608a
EXTERNAL:00000037	XRCORE.DLL::rtc_csize	XRCORE.DLL	4	100151ec,10005ab7,10005e69,10005fd1
EXTERNAL:00000038	XRCORE.DLL::Core	XRCORE.DLL	1	100151f0
EXTERNAL:00000039	XRCORE.DLL::NET_Packet::w	XRCORE.DLL::NET_Packet	2	100151f4,10005a10
EXTERNAL:0000003a	XRCORE.DLL::NET_Packet::w_u16	XRCORE.DLL::NET_Packet	2	100151f8,10005a04
EXTERNAL:0000003b	XRCORE.DLL::_initialize_cpu_thread	XRCORE.DLL	3	100151fc,10005863,1000d173
EXTERNAL:0000003c	XRCORE.DLL::NET_Packet::r_begin	XRCORE.DLL::NET_Packet	2	10015200,10004711
EXTERNAL:0000003d	XRCORE.DLL::Debug	XRCORE.DLL	1	10015204
